transliteration,period,morphology,sorting,frequency,cognate,function,variant,number,person,rich,semantics,affix
h.sa-ap.KI.MIN,achE,copy,saapkimin,,,noun,,,,"<qt><font color=""#c30000"">h</font>.<font color=""#690000"">sa</font>-<font color=""#9b0000"">ap</font>.<font color=""#690000"">KI</font>.<font color=""#690000"">MIN</font></qt>",,
GAM.h.sa-at-tuk-ki-ip-na,nE,sattuku,saattukkiipna,,sattuku,noun,,,,"<qt><font color=""#690000"">GAM</font>.<font color=""#c30000"">h</font>.<font color=""#690000"">sa</font>-<font color=""#690000"">at</font>-<font color=""#b40000"">tuk</font>-<font color=""#690000"">ki</font>-<font color=""#690000"">ip</font>-na</qt>",,
hh.sa-da-ba-an,achE,ϑatapa-m,sadabaan,,ϑatapa,noun,hh.sa-tuk-ba-um,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#690000"">sa</font>-<font color=""#9b0000"">da</font>-<font color=""#9b0000"">ba</font>-<font color=""#c30000"">an</font></qt>",,
2.sa-at,achE,sati,saat,,,noun,"sa-ut, sa-ut-ki-me, za-ši-iz-za-um",,,"<qt><font color=""#690000"">sa</font>-<font color=""#690000"">at</font></qt>",,
sa-da-bat-ti-iš,achE,centurion-š,sadabattiis~,1,ϑatapati,noun,sa-ad-da-bat-ti-iš,,,"<qt><font color=""#690000"">sa</font>-<font color=""#9b0000"">da</font>-<font color=""#de0000"">bat</font>-<font color=""#690000"">ti</font>-iš</qt>",,
sa-da-bat-ti-iš-be,achE,centurion-š-PL,sadabattiis~be,1,ϑatapati,noun,sa-da-bat-ti-iš,Pl.,3rd Anim.,"<qt><font color=""#690000"">sa</font>-<font color=""#9b0000"">da</font>-<font color=""#de0000"">bat</font>-<font color=""#690000"">ti</font>-iš-<font color=""#de0000"">be</font></qt>",,
h.sa-da-ba-um,achE,ϑatapa-m,sadabaum,,ϑatapa,noun,hh.sa-tuk-ba-um,,,"<qt><font color=""#c30000"">h</font>.<font color=""#690000"">sa</font>-<font color=""#9b0000"">da</font>-<font color=""#9b0000"">ba</font>-<font color=""#690000"">um</font></qt>",,
sa-e,nE,limb-3SG.POSS,sae,1,,noun,la-ha-ar.sa.KI,,,"<qt><font color=""#690000"">sa</font>-<font color=""#690000"">e</font></qt>",,
sa-el,nE,sel,sael,1,,noun,,,,"<qt><font color=""#690000"">sa</font>-<font color=""#9b0000"">el</font></qt>",,
SAG.lg,nE,head,sag,1,,noun,,,,"<qt><font color=""#9b0000"">SAG</font>.<font color=""#690000"">lg</font></qt>",,
2.sa-h,nE,,sah,,,noun,,,,"<qt><font color=""#690000"">sa</font>-<font color=""#d50000"">h</font></qt>",,
3.sa-h,nE,,sah,,,noun,,,,"<qt><font color=""#690000"">sa</font>-<font color=""#d50000"">h</font></qt>",,
sa-har-pi,nE,ϑārapiš,saharpi,,ϑārapiš,noun,"sa-ar-pi, sa-ra-pi-iš, sa-ri-pi",,,"<qt><font color=""#690000"">sa</font>-<font color=""#cd0000"">har</font>-<font color=""#de0000"">pi</font></qt>",,
sa-h-ki-da,nE,,sahkida,,,noun,,,,"<qt><font color=""#690000"">sa</font>-<font color=""#d50000"">h</font>-<font color=""#690000"">ki</font>-<font color=""#9b0000"">da</font></qt>",,
sa-h-pi,nE,sahpi,sahpi,,,noun,sah-pi,,,"<qt><font color=""#690000"">sa</font>-<font color=""#d50000"">h</font>-<font color=""#de0000"">pi</font></qt>",,
sah-ri,mE,weigher?,sahri,1,,noun,"za-h-ru-um, sa-h-ri, za-h-ri",,,"<qt><font color=""#cd0000"">sah</font>-<font color=""#9b0000"">ri</font></qt>",,
sah-pi,nE,sahpi,sahpi,,,noun,sa-h-pi,,,"<qt><font color=""#cd0000"">sah</font>-<font color=""#de0000"">pi</font></qt>",,
sa-h-[ri],mE,,sahri,,,noun,sah-ri,,,"<qt><font color=""#690000"">sa</font>-<font color=""#d50000"">h</font>-<font color=""#9b0000"">ri</font></qt>",,
sa-h-ti-e,mE,clean-3SG.POSS,sahtie,1,,noun,,Sg.,3rd Anim.,"<qt><font color=""#690000"">sa</font>-<font color=""#d50000"">h</font>-<font color=""#690000"">ti</font>-<font color=""#690000"">e</font></qt>",,
sa-hu-ut-ti,nE,,sahuutti,,,noun,,,,"<qt><font color=""#690000"">sa</font>-<font color=""#d50000"">hu</font>-<font color=""#d50000"">ut</font>-<font color=""#690000"">ti</font></qt>",,
sa-ib-ba,achE,travel-PL,saibba,,,noun,,Pl.,3rd Anim.,"<qt><font color=""#690000"">sa</font>-<font color=""#690000"">ib</font>-<font color=""#9b0000"">ba</font></qt>",,
d.sa-ik-ra-zí-iš,achE,ϴaigračiš,saikraziis~,,ϑaigračiš,noun,d.sa-a-kur-ri-zí-iš,,,"<qt><font color=""#c30000"">d</font>.<font color=""#690000"">sa</font>-<font color=""#c30000"">ik</font>-<font color=""#690000"">ra</font>-<font color=""#690000"">zí</font>-iš</qt>",month,
d.sa-kar-ri-zí-iš,achE,ϴaigračiš,sakarriziis~,,ϑaigračiš,noun,d.sa-a-kur-ri-zí-iš,,,"<qt><font color=""#c30000"">d</font>.<font color=""#690000"">sa</font>-<font color=""#690000"">kar</font>-<font color=""#9b0000"">ri</font>-<font color=""#690000"">zí</font>-iš</qt>",month,
