transliteration,period,morphology,sorting,frequency,cognate,function,variant,number,person,rich,semantics,affix
in-na-ak-qa-na,achE,,innaakqana,,,adjective,in-ak-qa,,,"<qt>in-na-<font color=""#690000"">ak</font>-<font color=""#9b0000"">ka<small>4</small></font>-na</qt>",,
in-na-kán-na,achE,,innakanna,,,adjective,in-ak-qa,,,"<qt>in-na-<font color=""#690000"">kán</font>-na</qt>",,
d.in-su-uš-na-ak-me,mE,Inšušinak-INANIM.AGR,insuus~naakme,,,adjective,d.in-šu-ši-na-ak,,,"<qt><font color=""#c30000"">d</font>.in-<font color=""#690000"">su</font>-uš-na-<font color=""#690000"">ak</font>-<font color=""#9b0000"">me</font></qt>",,-me
d.in-su-uš-na-ak-ni,mE,Inšušinak-INANIM2.AGR,insuus~naakni,,,adjective,d.in-šu-ši-na-ak,,,"<qt><font color=""#c30000"">d</font>.in-<font color=""#690000"">su</font>-uš-na-<font color=""#690000"">ak</font>-<font color=""#c30000"">ni</font></qt>",,
d.in-su-uš-na-ak-ti,mE,,insuus~naakti,,,adjective,d.in-šu-ši-na-ak,,,"<qt><font color=""#c30000"">d</font>.in-<font color=""#690000"">su</font>-uš-na-<font color=""#690000"">ak</font>-<font color=""#690000"">ti</font></qt>",,
ir-ba-en,achE,,irbaen,,,adjective,,,,"<qt>ir-<font color=""#9b0000"">ba</font>-<font color=""#690000"">en</font></qt>",,
ir-da-ma,achE,rtāvā̆,irdama,,rtāvā̆,adjective,,,,"<qt>ir-<font color=""#9b0000"">da</font>-<font color=""#b40000"">ma</font></qt>",,
hh.ir-da-ma,achE,rtama,irdama,,rtama,adjective,,,,"<qt><font color=""#9b0000"">hh</font>.ir-<font color=""#9b0000"">da</font>-<font color=""#b40000"">ma</font></qt>",,
ir-pi,mE,,irpi,,,adjective,,,,"<qt>ir-<font color=""#de0000"">pi</font></qt>",,
2.ir-pi,achE,earlier,irpi,,,adjective,"ap-pu-qa, ir-ip",,,"<qt>ir-<font color=""#de0000"">pi</font></qt>",,
ir-šá-an-na,achE,large-GEN,irs~aanna,,,adjective,ir-šá-na,,,"<qt>ir-<font color=""#c30000"">šá</font>-<font color=""#c30000"">an</font>-na</qt>",,
ir-šá-na,achE,large-GEN,irs~ana,1,,adjective,ir-šá-an-na,Sg.,3rd Anim.,"<qt>ir-<font color=""#c30000"">šá</font>-na</qt>",,
ir-še-ki,achE,many,irs~eki,1,,adjective,ir-še-ik-ki,Sg.,3rd Anim.,"<qt>ir-<font color=""#690000"">še</font>-<font color=""#690000"">ki</font></qt>",,
iš-tur-rák-qa,achE,straight,is~turrakqa,1,,adjective,,,,"<qt>iš-<font color=""#b40000"">tur</font>-<font color=""#690000"">rák</font>-<font color=""#9b0000"">ka<small>4</small></font></qt>",,
h.i-te-man-na,achE,,itemanna,,,adjective,,,,"<qt><font color=""#c30000"">h</font>.<font color=""#9b0000"">i</font>-te-<font color=""#690000"">man</font>-na</qt>",,
la-an-si-di-ya,mE,gold-ya,laansidiya,,,adjective,la-an-si-ti-ya,,,"<qt>la-<font color=""#c30000"">an</font>-<font color=""#690000"">si</font>-di-<font color=""#9b0000"">ya</font></qt>",,
la-an-si-it-im-ma,mE,gold-ya,laansiitimma,,,adjective,la-an-si-ti-ya,,,"<qt>la-<font color=""#c30000"">an</font>-<font color=""#690000"">si</font>-<font color=""#690000"">it</font>-<font color=""#b40000"">im</font>-<font color=""#b40000"">ma</font></qt>",,
la-an-si-it-ma,mE,gold-ma,laansiitma,,,adjective,la-an-si-ti-ya,,,"<qt>la-<font color=""#c30000"">an</font>-<font color=""#690000"">si</font>-<font color=""#690000"">it</font>-<font color=""#b40000"">ma</font></qt>",,
la-an-si-ti-im-ma,mE,gold-ma,laansitiimma,,,adjective,la-an-si-it-im-ma,,,"<qt>la-<font color=""#c30000"">an</font>-<font color=""#690000"">si</font>-<font color=""#690000"">ti</font>-<font color=""#b40000"">im</font>-<font color=""#b40000"">ma</font></qt>",,
la-an-si-ti-i-ni,mE,gold-ni2,laansitiini,,,adjective,la-an-si-ti-in-ni,,,"<qt>la-<font color=""#c30000"">an</font>-<font color=""#690000"">si</font>-<font color=""#690000"">ti</font>-<font color=""#9b0000"">i</font>-<font color=""#c30000"">ni</font></qt>",,
la-an-si-ti-in-ni,mE,gold-ni2,laansitiinni,1,,adjective,,,,"<qt>la-<font color=""#c30000"">an</font>-<font color=""#690000"">si</font>-<font color=""#690000"">ti</font>-in-<font color=""#c30000"">ni</font></qt>",,
la-an-si-ti-ip-pa,mE,gold-PL,laansitiippa,,,adjective,"la-an-si-ti-pa, la-an-si-ti-ip-ya-pu-un",,,"<qt>la-<font color=""#c30000"">an</font>-<font color=""#690000"">si</font>-<font color=""#690000"">ti</font>-<font color=""#690000"">ip</font>-<font color=""#690000"">pa</font></qt>",,
la-an-si-ti-pa,mE,gold-PL,laansitipa,,,adjective,la-an-si-ti-ip-pa,,,"<qt>la-<font color=""#c30000"">an</font>-<font color=""#690000"">si</font>-<font color=""#690000"">ti</font>-<font color=""#690000"">pa</font></qt>",,
la-an-si-ti-ya,mE,gold-ya,laansitiya,,,adjective,,,,"<qt>la-<font color=""#c30000"">an</font>-<font color=""#690000"">si</font>-<font color=""#690000"">ti</font>-<font color=""#9b0000"">ya</font></qt>",,
la-lu-bi-ti,oE,,lalubiti,,,adjective,la-an.lu-be,,,"<qt>la-<font color=""#690000"">lu</font>-<font color=""#de0000"">bi</font>-<font color=""#690000"">ti</font></qt>",,
la-mi-na,achE,,lamina,,,adjective,,,,<qt>la-mi-na</qt>,,
d.la-na,achE,,lana,,,adjective,d.la-an.na,,,"<qt><font color=""#c30000"">d</font>.la-na</qt>",,
la-ni-e,mE,silver-3SG.POSS,lanie,,,adjective,la-ni,Sg.,3rd Anim.,"<qt>la-<font color=""#c30000"">ni</font>-<font color=""#690000"">e</font></qt>",,
la-ni-i-ni,mE,silver-na,laniini,,,adjective,,,,"<qt>la-<font color=""#c30000"">ni</font>-<font color=""#9b0000"">i</font>-<font color=""#c30000"">ni</font></qt>",,
