transliteration,period,morphology,sorting,frequency,cognate,function,variant,number,person,rich,semantics,affix
du-maš,achE,receive-DUR-ACT.PTCP-3SG,dumas~,,,verb,du-ma-iš,,,"<qt><font color=""#9b0000"">du</font>-<font color=""#de0000"">maš</font></qt>",,
du-ma-šá,achE,receive-DUR-3SG-ša,dumas~a,10,,verb,"du-ma-iš-šá, du-h",,,"<qt><font color=""#9b0000"">du</font>-<font color=""#b40000"">ma</font>-<font color=""#c30000"">šá</font></qt>",,
du-ma-qa,achE,receive-DUR-PASS.PTCP,dumaqa,3,,verb,du-h,,,"<qt><font color=""#9b0000"">du</font>-<font color=""#b40000"">ma</font>-<font color=""#9b0000"">ka<small>4</small></font></qt>",,"-man, -ka"
du-ma-um,achE,receive-DUR-ACT.PTCP,dumaum,3,,verb,du-ma-an,,,"<qt><font color=""#9b0000"">du</font>-<font color=""#b40000"">ma</font>-<font color=""#690000"">um</font></qt>",,
tum-ma-um,achE,receive-DUR-ACT.PTCP,dummaum,1,,verb,"du-ma-um, du-ma-an",,,"<qt><font color=""#b40000"">tum</font>-<font color=""#b40000"">ma</font>-<font color=""#690000"">um</font></qt>",,
tum-ban-ra,mE,grant-ACT.PTCP-3SG.AGR,dumbanra,,,verb,tu4-um-pa-an-ra,Sg.,3rd Anim.,"<qt><font color=""#b40000"">tum</font>-<font color=""#9b0000"">ban</font>-<font color=""#690000"">ra</font></qt>",,-n-
du-ni-en,achE,give-ACT.PTCP,dunien,1,,verb,,,,"<qt><font color=""#9b0000"">du</font>-<font color=""#c30000"">ni</font>-<font color=""#690000"">en</font></qt>",,
du-na-ik,achE,give-PASS.PTCP,dunaik,1,,verb,,,,"<qt><font color=""#9b0000"">du</font>-na-<font color=""#c30000"">ik</font></qt>",,-k
du-na-áš,achE,give-3SG,dunaas~,1,,verb,"du-na-iš, du-ni-iš, du-nu-iš, du-nu-uš, id-du-na-áš",Sg.,3rd Anim.,"<qt><font color=""#9b0000"">du</font>-na-<font color=""#9b0000"">áš</font></qt>",,
du-na-iš,achE,give-3SG,dunais~,3,,verb,,Sg.,3rd Anim.,"<qt><font color=""#9b0000"">du</font>-na-iš</qt>",,
du-na-qa,achE,give-PASS.PTCP,dunaqa,5,,verb,"du-nu-ik-qa, du-nu-qa",,,"<qt><font color=""#9b0000"">du</font>-na-<font color=""#9b0000"">ka<small>4</small></font></qt>",,-ka
du-na-iš-da,achE,give-3SG-da,dunais~da,4,,verb,du-nu-iš-da,Sg.,3rd Anim.,"<qt><font color=""#9b0000"">du</font>-na-iš-<font color=""#9b0000"">da</font></qt>",,-da
2.du-na-iš,achE,give-3PL,dunais~,2,,verb,,Pl.,3rd Anim.,"<qt><font color=""#9b0000"">du</font>-na-iš</qt>",,
du-ni-h,"mE, nE",give-1SG,dunih,27,,verb,"du-ù-ni-h, tu4-ni-h, du-nu, du-nu-h, id-du-ni-h",Sg.,1st,"<qt><font color=""#9b0000"">du</font>-<font color=""#c30000"">ni</font>-<font color=""#d50000"">h</font></qt>",,
du-ni-ha,mE,give-1SG-da,duniha,1,,verb,"du-nu-ha, du-ni-h",Sg.,1st,"<qt><font color=""#9b0000"">du</font>-<font color=""#c30000"">ni</font>-<font color=""#690000"">ha</font></qt>",,-da
du-ni-h-ši-ni-e,mE,give-3PL-OPT,dunihs~inie,1,,verb,du-ni-h-ši-ni,,,"<qt><font color=""#9b0000"">du</font>-<font color=""#c30000"">ni</font>-<font color=""#d50000"">h</font>-<font color=""#c30000"">ši</font>-<font color=""#c30000"">ni</font>-<font color=""#690000"">e</font></qt>",,
du-ni-it-ni,mE,give-2SG.AGR-OPT,duniitni,2,,verb,,Sg.,2nd,"<qt><font color=""#9b0000"">du</font>-<font color=""#c30000"">ni</font>-<font color=""#690000"">it</font>-<font color=""#c30000"">ni</font></qt>",,-ni
tu4-ni4-h,mE,give-1SG,dunih,5,,verb,du-ni-h,Sg.,1st,"<qt><font color=""#b40000"">tu<sub><small>4</small></sub></font>-<font color=""#00ff00"">ni<sub><small>4</small></sub></font>-<font color=""#d50000"">h</font></qt>",,
du-ni-h-ši-ni,mE,give-3PL-OPT,dunihs~ini,1,,verb,,Pl.,3rd Anim.,"<qt><font color=""#9b0000"">du</font>-<font color=""#c30000"">ni</font>-<font color=""#d50000"">h</font>-<font color=""#c30000"">ši</font>-<font color=""#c30000"">ni</font></qt>",,-ni
du-ni-iš-ni,mE,give-3SG-OPT,duniis~ni,2,,verb,,Sg.,3rd Anim.,"<qt><font color=""#9b0000"">du</font>-<font color=""#c30000"">ni</font>-iš-<font color=""#c30000"">ni</font></qt>",,-ni
du-nu,achE,give-1SG,dunu,5,,verb,"du-ni-h, du-nu-h",Sg.,1st,"<qt><font color=""#9b0000"">du</font>-nu</qt>",,
tu4-ni-h,mE,give-1SG,dunih,1,,verb,du-ni-h,Sg.,1st,"<qt><font color=""#b40000"">tu<sub><small>4</small></sub></font>-<font color=""#c30000"">ni</font>-<font color=""#d50000"">h</font></qt>",,
du-ni-iš,mE,give-3SG,duniis~,1,,verb,du-na-áš,Sg.,3rd Anim.,"<qt><font color=""#9b0000"">du</font>-<font color=""#c30000"">ni</font>-iš</qt>",,
du-nu-iš-ni,achE,give-3SG-OPT,dunuis~ni,2,,verb,,Sg.,3rd Anim.,"<qt><font color=""#9b0000"">du</font>-nu-iš-<font color=""#c30000"">ni</font></qt>",,-ni
du-nu-iš-da,achE,give-3SG-da,dunuis~da,30,,verb,"du-na-iš-da, hw.hu-ban.du-nu-iš-da, id-du-nu-iš-da",Sg.,3rd Anim.,"<qt><font color=""#9b0000"">du</font>-nu-iš-<font color=""#9b0000"">da</font></qt>",,-da
du-nu-iš,"nE, achE",give-3SG,dunuis~,17,,verb,"du-na-áš, hw.hu-ban.du-nu-iš, id-du-nu-iš",Sg.,3rd Anim.,"<qt><font color=""#9b0000"">du</font>-nu-iš</qt>",,
du-nu-ik-qa,achE,give-PASS.PTCP,dunuikqa,1,,verb,du-na-qa,,,"<qt><font color=""#9b0000"">du</font>-nu-<font color=""#c30000"">ik</font>-<font color=""#9b0000"">ka<small>4</small></font></qt>",,-ka
[du]-nu-ik-ni,achE,give-PASS.PTCP-OPT,dunuikni,1,,verb,,,,"<qt><font color=""#9b0000"">du</font>-nu-<font color=""#c30000"">ik</font>-<font color=""#c30000"">ni</font></qt>",,"-k, -ni"
du-nu-ik,achE,give-PASS.PTCP,dunuik,14,,verb,du-nu-ak,,,"<qt><font color=""#9b0000"">du</font>-nu-<font color=""#c30000"">ik</font></qt>",,-k
du-nu-ha,nE,give-1SG-da,dunuha,2,,verb,du-ni-ha,Sg.,1st,"<qt><font color=""#9b0000"">du</font>-nu-<font color=""#690000"">ha</font></qt>",,-da
du-nu-h,nE,give-1SG,dunuh,4,,verb,du-ni-h,Sg.,1st,"<qt><font color=""#9b0000"">du</font>-nu-<font color=""#d50000"">h</font></qt>",,
