transliteration,period,morphology,sorting,frequency,cognate,function,variant,number,person,rich,semantics,affix
-um-me,achE,'th,umme,,,other,-um-me-man-na,,,"<qt>-<font color=""#690000"">um</font>-<font color=""#9b0000"">me</font></qt>",,
-um-me-in-na,achE,'th,ummeinna,,,other,-um-me-man-na,,,"<qt>-<font color=""#690000"">um</font>-<font color=""#9b0000"">me</font>-in-na</qt>",,
-um-me-ma,achE,'th,ummema,,,other,-um-me-man-na,,,"<qt>-<font color=""#690000"">um</font>-<font color=""#9b0000"">me</font>-<font color=""#b40000"">ma</font></qt>",,
-um-me-man,achE,'th,ummeman,,,other,-um-me-man-na,,,"<qt>-<font color=""#690000"">um</font>-<font color=""#9b0000"">me</font>-<font color=""#690000"">man</font></qt>",,
-um-me-ma-na,achE,'th,ummemana,,,other,-um-me-man-na,,,"<qt>-<font color=""#690000"">um</font>-<font color=""#9b0000"">me</font>-<font color=""#b40000"">ma</font>-na</qt>",,
-um-me-man-me-na,achE,'th,ummemanmena,,,other,-um-me-man-na,,,"<qt>-<font color=""#690000"">um</font>-<font color=""#9b0000"">me</font>-<font color=""#690000"">man</font>-<font color=""#9b0000"">me</font>-na</qt>",,
-um-me-man-na,achE,'th,ummemanna,,,other,"-am-me-man-na, -me, -me-ma, -me-ma-na, -me-man-na, -me-na, -me-na-ma, -me-um-me-na, -mi-man-na, -mi-me-na, -mi-na, -um-ma-na, -um-man-na, -um-me, -um-me-in-na, -um-me-ma, -um-me-man, -um-me-ma-na, -um-me-man-me-na, -um-me-man-na-ma, -um-me-man-na-na, -um-me-na, -um-me-na-ma, -um-me-ni, -um-me-ra, -um-mi-na",,,"<qt>-<font color=""#690000"">um</font>-<font color=""#9b0000"">me</font>-<font color=""#690000"">man</font>-na</qt>",,
-um-me-man-na-ma,achE,'th,ummemannama,,,other,-um-me-man-na,,,"<qt>-<font color=""#690000"">um</font>-<font color=""#9b0000"">me</font>-<font color=""#690000"">man</font>-na-<font color=""#b40000"">ma</font></qt>",,
-um-me-man-na-na,achE,'th,ummemannana,,,other,-um-me-man-na,,,"<qt>-<font color=""#690000"">um</font>-<font color=""#9b0000"">me</font>-<font color=""#690000"">man</font>-na-na</qt>",,
-um-me-na,achE,'th,ummena,,,other,-um-me-man-na,,,"<qt>-<font color=""#690000"">um</font>-<font color=""#9b0000"">me</font>-na</qt>",,
-um-me-na-ma,achE,'th,ummenama,,,other,-um-me-man-na,,,"<qt>-<font color=""#690000"">um</font>-<font color=""#9b0000"">me</font>-na-<font color=""#b40000"">ma</font></qt>",,
-um-me-ni,achE,'th,ummeni,,,other,-um-me-man-na,,,"<qt>-<font color=""#690000"">um</font>-<font color=""#9b0000"">me</font>-<font color=""#c30000"">ni</font></qt>",,
-um-me-ra,achE,'th,ummera,,,other,-um-me-man-na,,,"<qt>-<font color=""#690000"">um</font>-<font color=""#9b0000"">me</font>-<font color=""#690000"">ra</font></qt>",,
-um-mi-na,achE,'th,ummina,,,other,-um-me-man-na,,,"<qt>-<font color=""#690000"">um</font>-mi-na</qt>",,
un-ra,achE,each,unra,,,other,"un-na, un-ra-na, ú-un-ra",,,"<qt><font color=""#b40000"">un</font>-<font color=""#690000"">ra</font></qt>",,
un-ra-na,achE,each,unrana,,,other,un-ra,,,"<qt><font color=""#b40000"">un</font>-<font color=""#690000"">ra</font>-na</qt>",,
ú-nu-nu,nE,1SG-GEN?,ununu,,,other,ú-mu-na,Sg.,1st,"<qt><font color=""#9b0000"">ú</font>-nu-nu</qt>",,
up,mE,1SG-3PL.ACC,up,1,,other,ú-ip,Sg.,1st,"<qt><font color=""#690000"">up</font></qt>",,
ur,"mE, nE",1SG,ur,14,,other,"u.ir, v.ú-ir",Sg.,1st,,,
ur-,"mE, nE",1SG,ur,14,,other,,Sg.,1st,,,
ú-še,mE,,us~e,,,other,,Sg.,1st,"<qt><font color=""#9b0000"">ú</font>-<font color=""#690000"">še</font></qt>",,
v.ú-um,achE,,uum,,,other,ú-in,Sg.,1st,"<qt><font color=""#690000"">v</font>.<font color=""#9b0000"">ú</font>-<font color=""#690000"">um</font></qt>",,
ú-un,mE,1SG.ACC,uun,1,,other,v.ú-un,Sg.,1st,,,
ú-up,"mE, mE",,uup,,,other,ú-ip,Sg.,1st,"<qt><font color=""#9b0000"">ú</font>-<font color=""#690000"">up</font></qt>",,
v.ú-un,achE,1SG.ACC,uun,1,,other,ú-in,Sg.,1st,,,
ú-za-ra-um-mi,achE,hučāra-mai,uzaraummi,,hučāra-mai,other,,,,"<qt><font color=""#9b0000"">ú</font>-<font color=""#690000"">za</font>-<font color=""#690000"">ra</font>-<font color=""#690000"">um</font>-mi</qt>",,
ya-ak,mE,and,yaak,,,other,a-ak,,,"<qt>ya-<font color=""#690000"">ak</font></qt>",,
ya-na-a,achE,yanai,yanaa,,yanai,other,"ya-ni, i-ya-ni",,,"<qt><font color=""#9b0000"">ya</font>-na-<font color=""#690000"">a</font></qt>",,
ya-ni,achE,,yani,,,other,ya-na-a,,,"<qt><font color=""#9b0000"">ya</font>-<font color=""#c30000"">ni</font></qt>",,
zí-ma,nE,front-in,zima,,,other,si-ma,,,"<qt><font color=""#690000"">zí</font>-<font color=""#b40000"">ma</font></qt>",,
z[í-y]a-[ma-ak]-ma-na,achE,sia-ma-k-ma-na,ziyamaakmana,1,,other,,,,"<qt><font color=""#690000"">zí</font>-<font color=""#9b0000"">ya</font>-<font color=""#b40000"">ma</font>-<font color=""#690000"">ak</font>-<font color=""#b40000"">ma</font>-na</qt>",,-na
zu-uk-qa-na,mE,place-ACT.PTCP+,zuukqana,1,,other,,,,"<qt><font color=""#690000"">zu</font>-<font color=""#9b0000"">uk</font>-<font color=""#9b0000"">ka<small>4</small></font>-na</qt>",,-na
zu-uk-ki-ir-ma-ni,mE,place-SG-ma-na,zuukkiirmani,,,other,zu-uk-ki-ir,,,"<qt><font color=""#690000"">zu</font>-<font color=""#9b0000"">uk</font>-<font color=""#690000"">ki</font>-ir-<font color=""#b40000"">ma</font>-<font color=""#c30000"">ni</font></qt>",,"-ma, -ni"
zu-uz-qa-ma-qa,mE,place-ma-ka,zuuzqamaqa,,,other,,,,"<qt><font color=""#690000"">zu</font>-<font color=""#9b0000"">uz</font>-<font color=""#9b0000"">ka<small>4</small></font>-<font color=""#b40000"">ma</font>-<font color=""#9b0000"">ka<small>4</small></font></qt>",,"-ma, -ka"
