transliteration,period,morphology,sorting,frequency,cognate,function,variant,number,person,rich,semantics,affix
h.ra-u-tan-nu-iš,achE,,rautannuis~,,,GN,,,,"<qt><font color=""#c30000"">h</font>.<font color=""#690000"">ra</font>-<font color=""#9b0000"">u</font>-<font color=""#c30000"">tan</font>-nu-iš</qt>",location,
h.ra-u-taš,achE,rautah,rautas~,,rautah,GN,,,,"<qt><font color=""#c30000"">h</font>.<font color=""#690000"">ra</font>-<font color=""#9b0000"">u</font>-<font color=""#b40000"">taš</font></qt>",location,
h.ra-ut-ku-iš,achE,,rautkuis~,,,GN,,,,"<qt><font color=""#c30000"">h</font>.<font color=""#690000"">ra</font>-<font color=""#d50000"">ut</font>-<font color=""#d50000"">ku</font>-iš</qt>",location,
hh.ra-za-be,achE,rāza-PL,razabe,,rāza,GN,,Pl.,3rd Anim.,"<qt><font color=""#9b0000"">hh</font>.<font color=""#690000"">ra</font>-<font color=""#690000"">za</font>-<font color=""#de0000"">be</font></qt>",location,
h.ra-za-qa-tu-iš,achE,razagāϑu-š,razaqatuis~,,razagāϑu,GN,,,,"<qt><font color=""#c30000"">h</font>.<font color=""#690000"">ra</font>-<font color=""#690000"">za</font>-<font color=""#9b0000"">ka<small>4</small></font>-tu-iš</qt>",location,
h.ra-za-qa-nu-iš,achE,razakāna-š,razaqanuis~,,razakāna,GN,,,,"<qt><font color=""#c30000"">h</font>.<font color=""#690000"">ra</font>-<font color=""#690000"">za</font>-<font color=""#9b0000"">ka<small>4</small></font>-nu-iš</qt>",location,
h.ra-zí-na-ma-ut-ti-iš,achE,raznavatīš,razinamauttiis~,,raznavatīš,GN,"h.ra-zí-na-ma-ut-ti, h.ra-zí-nu-ma-ti-iš, h.ra-zí-nu-ut-ti-iš, h.ráš-nu-ma-ut-ti-iš, h.ráš-nu-ut-ti-iš",,,"<qt><font color=""#c30000"">h</font>.<font color=""#690000"">ra</font>-<font color=""#690000"">zí</font>-na-<font color=""#b40000"">ma</font>-<font color=""#d50000"">ut</font>-<font color=""#690000"">ti</font>-iš</qt>",location,
h.ra-zí-na-ma-ut-ti,achE,raznavatīš,razinamautti,,raznavatīš,GN,"h.ra-zí-na-ma-ut-ti, h.ra-zí-nu-ma-ti-iš, h.ra-zí-nu-ut-ti-iš, h.ráš-nu-ma-ut-ti-iš, h.ráš-nu-ut-ti-iš",,,"<qt><font color=""#c30000"">h</font>.<font color=""#690000"">ra</font>-<font color=""#690000"">zí</font>-na-<font color=""#b40000"">ma</font>-<font color=""#d50000"">ut</font>-<font color=""#690000"">ti</font></qt>",,
hh.ri-ma-na-u-ma,achE,raivanaxva,rimanauma,,raivanaxva,GN,h.ri-man-na-u-ma,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#9b0000"">ri</font>-<font color=""#b40000"">ma</font>-na-<font color=""#9b0000"">u</font>-<font color=""#b40000"">ma</font></qt>",location,
h.ri-man-na-u-ma,achE,raivanaxva,rimannauma,,raivanaxva,GN,,,,"<qt><font color=""#c30000"">h</font>.<font color=""#9b0000"">ri</font>-<font color=""#690000"">man</font>-na-<font color=""#9b0000"">u</font>-<font color=""#b40000"">ma</font></qt>",location,
