transliteration,period,morphology,sorting,frequency,cognate,function,variant,number,person,rich,semantics,affix
hh.šá-ak-šá-qa,achE,xšaçaka,s~aaks~aqa,,xšaçaka,PN,"hh.ik-šá-šá-qa, hh.šá-iš-šá-ak-qa",,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#c30000"">šá</font>-<font color=""#690000"">ak</font>-<font color=""#c30000"">šá</font>-<font color=""#9b0000"">ka<small>4</small></font></qt>",man,
hh.šá-ak-ši-ya,achE,xšaçya,s~aaks~iya,1,xšaçya,PN,,Sg.,3rd Anim.,"<qt><font color=""#9b0000"">hh</font>.<font color=""#c30000"">šá</font>-<font color=""#690000"">ak</font>-<font color=""#c30000"">ši</font>-<font color=""#9b0000"">ya</font></qt>",man,
šà-a-la-li,oE,,s~aalali,,,PN,,,,"<qt><font color=""#b40000"">šà</font>-<font color=""#690000"">a</font>-la-li</qt>",man,
ša-al-hu-ni,oE,,s~aalhuni,,,PN,,,,"<qt>ša-al-<font color=""#d50000"">hu</font>-<font color=""#c30000"">ni</font></qt>",man,
šà-al-lu,oE,,s~aallu,,,PN,,,,"<qt><font color=""#b40000"">šà</font>-al-<font color=""#690000"">lu</font></qt>",man,
šà-al-mu-mu,oE,šalmu,s~aalmumu,,šalmu,PN,,,,"<qt><font color=""#b40000"">šà</font>-al-<font color=""#690000"">mu</font>-<font color=""#690000"">mu</font></qt>",man,
ša-am-hu?-ra,oE,,s~aamhura,1,,PN,,,,"<qt>ša-am-<font color=""#d50000"">hu</font>-<font color=""#690000"">ra</font></qt>",man,
hh.šá-am-iš-ki-in,achE,šamaš-kīn,s~aamis~kiin,,šamaš-kīn,PN,,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#c30000"">šá</font>-am-iš-<font color=""#690000"">ki</font>-in</qt>",man,
hh.šá-a[m?]-ri,nE,,s~aamri,,,PN,,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#c30000"">šá</font>-am-<font color=""#9b0000"">ri</font></qt>",man,
hh.šá-an-du-bìr-za-na,achE,δantubrδana,s~aandubirzana,1,δantubrδana,PN,"hh.da-an-du-bìr-da-na, hh.tan-du-bìr-za-na, hh.ru-an-du-pír-da-na",,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#c30000"">šá</font>-<font color=""#c30000"">an</font>-<font color=""#9b0000"">du</font>-<font color=""#e10000"">bìr</font>-<font color=""#690000"">za</font>-na</qt>",man,
hh.šá-an-du-qa,achE,δantuka,s~aanduqa,,δantuka,PN,hh.tan-du-uk-qa,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#c30000"">šá</font>-<font color=""#c30000"">an</font>-<font color=""#9b0000"">du</font>-<font color=""#9b0000"">ka<small>4</small></font></qt>",man,
hh.šá-an-du-uk-pi,achE,,s~aanduukpi,1,,PN,,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#c30000"">šá</font>-<font color=""#c30000"">an</font>-<font color=""#9b0000"">du</font>-<font color=""#9b0000"">uk</font>-<font color=""#de0000"">pi</font></qt>",man,
ša-an-pi,oE,,s~aanpi,,,PN,,,,"<qt>ša-<font color=""#c30000"">an</font>-<font color=""#de0000"">pi</font></qt>",man,
hh.šá-ap-pa,achE,,s~aappa,,,PN,,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#c30000"">šá</font>-<font color=""#9b0000"">ap</font>-<font color=""#690000"">pa</font></qt>",man,
hh.šá-ap-šu-iš,achE,,s~aaps~uis~,,,PN,,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#c30000"">šá</font>-<font color=""#9b0000"">ap</font>-<font color=""#9b0000"">šu</font>-iš</qt>",man,
hh.šá-a-qa-da,achE,,s~aaqada,,,PN,,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#c30000"">šá</font>-<font color=""#690000"">a</font>-<font color=""#9b0000"">ka<small>4</small></font>-<font color=""#9b0000"">da</font></qt>",man,
hh.šá-ap-pi-iš,achE,,s~aappiis~,,,PN,,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#c30000"">šá</font>-<font color=""#9b0000"">ap</font>-<font color=""#de0000"">pi</font>-iš</qt>",man,
ša-a-ša,oE,,s~aas~a,,,PN,,,,"<qt>ša-<font color=""#690000"">a</font>-ša</qt>",man,
hh.šá-a-taš,achE,xšaita,s~aatas~,,xšaita,PN,hh.šá-a-da,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#c30000"">šá</font>-<font color=""#690000"">a</font>-<font color=""#b40000"">taš</font></qt>",man,
hw.šá-at-ku,nE,,s~aatku,,,PN,,,,"<qt><font color=""#de0000"">hw</font>.<font color=""#c30000"">šá</font>-<font color=""#690000"">at</font>-<font color=""#d50000"">ku</font></qt>",man,
hh.šá-at-ri-iš,achE,xšaϑri-š,s~aatriis~,,xšaϑri,PN,,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#c30000"">šá</font>-<font color=""#690000"">at</font>-<font color=""#9b0000"">ri</font>-iš</qt>",man,
hh.šá-at-ra-ba-ma,achE,xšaϑrapāva,s~aatrabama,1,xšaϑrapāva,PN,,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#c30000"">šá</font>-<font color=""#690000"">at</font>-<font color=""#690000"">ra</font>-<font color=""#9b0000"">ba</font>-<font color=""#b40000"">ma</font></qt>",man,
hh.šá-at-ru-ru,achE,,s~aatruru,,,PN,,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#c30000"">šá</font>-<font color=""#690000"">at</font>-<font color=""#b40000"">ru</font>-<font color=""#b40000"">ru</font></qt>",man,
v.šá-at-tar-ri-da,achE,Xšaϑrita,s~aattarrida,1,xšaϑrita,PN,v.šá-ut-tar-ri-ud-da,Pl.,3rd Anim.,"<qt><font color=""#690000"">v</font>.<font color=""#c30000"">šá</font>-<font color=""#690000"">at</font>-<font color=""#c30000"">tar</font>-<font color=""#9b0000"">ri</font>-<font color=""#9b0000"">da</font></qt>",man,
hh.šá-a-tur-ma,achE,xšayadrva,s~aaturma,,xšayadrva,PN,,,,"<qt><font color=""#9b0000"">hh</font>.<font color=""#c30000"">šá</font>-<font color=""#690000"">a</font>-<font color=""#b40000"">tur</font>-<font color=""#b40000"">ma</font></qt>",man,
