transliteration,period,morphology,sorting,frequency,cognate,function,variant,number,person,rich,semantics,affix
d.ma-an-za-at,"oE, mE, nE",Manzat,maanzaat,,,DN,"d.ma-za-at, d.ma-zi-at, d.ma-an-zi-a[t], man-za-ti, pù-zur8.d.ma-an-za-at, ku-ku.ma-an-zu, v.ku-uk.d.man-za-at",,,"<qt><font color=""#c30000"">d</font>.<font color=""#b40000"">ma</font>-<font color=""#c30000"">an</font>-<font color=""#690000"">za</font>-<font color=""#690000"">at</font></qt>",divine,
d.ma-an-zi-a[t],,,maanziat,,,DN,"d.ma-an-za-at, da-núm.ma-an-zi-at",,,"<qt><font color=""#c30000"">d</font>.<font color=""#b40000"">ma</font>-<font color=""#c30000"">an</font>-<font color=""#690000"">zi</font>-<font color=""#690000"">at</font></qt>",divine,
d.ma-an-zi-ni-ri,nA,,maanziniri,,,DN,d.man-zi-ni-ri,,,"<qt><font color=""#c30000"">d</font>.<font color=""#b40000"">ma</font>-<font color=""#c30000"">an</font>-<font color=""#690000"">zi</font>-<font color=""#c30000"">ni</font>-<font color=""#9b0000"">ri</font></qt>",divine,
d.ta-qa-ti,nE,,daqati,1,,DN,,,,,,
d.ta-ši-la,oE,,das~ila,1,,DN,,,,"<qt><font color=""#c30000"">d</font>.ta-<font color=""#c30000"">ši</font>-la</qt>",divine,
d.na-ti,oE,,nati,,,DN,"ku-da-na-ti, ku-un-na-ti",,,"<qt><font color=""#c30000"">d</font>.na-<font color=""#690000"">ti</font></qt>",divine,
[d.te]-en-tur,nE,,deentur,,,DN,,,,"<qt><font color=""#c30000"">d</font>.te-<font color=""#690000"">en</font>-<font color=""#b40000"">tur</font></qt>",divine,
hu-úh,oE,,huuh,,,DN,,,,"<qt><font color=""#d50000"">hu</font>-<font color=""#00ff00"">úh</font></qt>",divine,
na-pi-ir,oAkk,Napir,napiir,,,DN,"d.na-ap-[ir?], d.na-pír",,,"<qt>na-<font color=""#de0000"">pi</font>-ir</qt>",divine,
[d.n]a-pi-ir-ta,nA,,napiirta,,,DN,d.na-pìr-tu,,,"<qt><font color=""#c30000"">d</font>.na-<font color=""#de0000"">pi</font>-ir-ta</qt>",divine,
d.te-im-ti-ri,oE,Temptir,deimtiri,,,DN,,,,"<qt><font color=""#c30000"">d</font>.te-<font color=""#b40000"">im</font>-<font color=""#690000"">ti</font>-<font color=""#9b0000"">ri</font></qt>",man,
gú-úh,oE,,guuh,,,DN,,,,"<qt><font color=""#690000"">gú</font>-<font color=""#00ff00"">úh</font></qt>",divine,
d.te-ip-ti,"mE, nE",Tempt,deipti,10,,DN,d.te-im-ti,,,"<qt><font color=""#c30000"">d</font>.te-<font color=""#690000"">ip</font>-<font color=""#690000"">ti</font></qt>",divine,
hu-ban,"mE, nE, achE",Humban,huban,,,DN,"d.te-ip-ti.hu-ban, [hw].ki-ki.um-ba-ba",,,"<qt><font color=""#d50000"">hu</font>-<font color=""#9b0000"">ban</font></qt>",divine,
d.hu-ban,"mE, nE, achE",Humban,huban,,,DN,"d.hu-ba-an, d.hum-ba-an, hu-um-ba-an, d.hu-um-ban, v.ku-uk.hu-ba-an, hw.d.šá-ti.hu-ban, hw.šu-tur.hu-ban, d.te-ip-ti.hu-ban, d.te-ip-ti.d.hu-ban.d.in-su-iš-na-ak, hw.ki-[tin.d.h]u-ban, ku-ku.hu-um-ba-al, f.ku-ri.hu-um-ba-an, hu-ban.gi-sir, hw.hu-ban.hal-lu, hw.hu-ban.hal-taš, v.d.hu-ban-im.me-en-na, v.d.hu-ban-im.me-na, hw.hu-ban.tan, hu-ban.taš, hh.hu-ban.un.be-iš, v.hu-ban.un-taš, hu-ba.si-im-ti, hu-ba.d.šul-gi.da-aš",,,"<qt><font color=""#c30000"">d</font>.<font color=""#d50000"">hu</font>-<font color=""#9b0000"">ban</font></qt>",divine,
d.hu-ba-an,oE,Humban,hubaan,1,,DN,d.hu-ban,,,"<qt><font color=""#c30000"">d</font>.<font color=""#d50000"">hu</font>-<font color=""#9b0000"">ba</font>-<font color=""#c30000"">an</font></qt>",divine,
d.te-ip-tu,oE,Tempt,deiptu,,,DN,te-im-ti,,,"<qt><font color=""#c30000"">d</font>.te-<font color=""#690000"">ip</font>-tu</qt>",divine,
d.in-šu-ši-na-ik,oE,,ins~us~inaik,,,DN,d.in-šu-ši-na-ak,,,"<qt><font color=""#c30000"">d</font>.in-<font color=""#9b0000"">šu</font>-<font color=""#c30000"">ši</font>-na-<font color=""#c30000"">ik</font></qt>",divine,
d.in-šu-uš-na-ak,"mE, nE",Inšušinak,ins~uus~naak,,,DN,d.in-šu-ši-na-ak,,,"<qt><font color=""#c30000"">d</font>.in-<font color=""#9b0000"">šu</font>-uš-na-<font color=""#690000"">ak</font></qt>",divine,
d.in-šu-ši-na-ak,"oE, mE, nE",Inšušinak,ins~us~inaak,,,DN,"d.NIN.MÙŠ.EREN, d.MÙŠ.LAM, d.te-ip-ti.d.hu-ban.d.in-su-iš-na-ak, ku-uk.in-su-uš-nak, ku-uk.in-zu, v.al.lu-du-uš.d.in-su-uš-na-ak, v.hal.lu-du-uš.d.in-su-uš-na-ak",,,"<qt><font color=""#c30000"">d</font>.in-<font color=""#9b0000"">šu</font>-<font color=""#c30000"">ši</font>-na-<font color=""#690000"">ak</font></qt>",divine,
ti-la,oE,,dila,3,,DN,"du-ut-ti-la, v.hu-ur-ba.ti-la",,,"<qt><font color=""#690000"">ti</font>-la</qt>",divine,
d.DIL.BAD,mE,Venus,dilbad,3,,DN,,,,"<qt><font color=""#c30000"">d</font>.<font color=""#c30000"">DIL</font>.<font color=""#de0000"">BAD</font></qt>",divine,
til-la,oE,,dilla,,,DN,ti-la,,,"<qt><font color=""#00ff00"">til</font>-la</qt>",divine,
d.di-meš,nA,,dimes~,,,DN,,,,"<qt><font color=""#c30000"">d</font>.di-<font color=""#00ff00"">meš</font></qt>",divine,
d.GAL,"oE, mE, nE, achE",Napiriša,gal,47,,DN,,,,"<qt><font color=""#c30000"">d</font>.<font color=""#c30000"">GAL</font></qt>",,
d.GAL-na,nE,Napiriša-GEN,galna,1,,DN,,,,,,
d.GAL-me,mE,Napiriša-INANIM.AGR,galme,1,,DN,,,,,,
d.ti-pi-tum,Ug.,,dipitum,,,DN,,,,"<qt><font color=""#c30000"">d</font>.<font color=""#690000"">ti</font>-<font color=""#de0000"">pi</font>-<font color=""#b40000"">tum</font></qt>",divine,
d.ti-ru-mi-it-hi-ir,mE,Tirumithir,dirumiithiir,2,,DN,d.ti-ru-tur,,,"<qt><font color=""#c30000"">d</font>.<font color=""#690000"">ti</font>-<font color=""#b40000"">ru</font>-mi-<font color=""#690000"">it</font>-<font color=""#c30000"">hi</font>-ir</qt>",divine,
d.ti-ru-tur,nE,Tirutur,dirutur,4,,DN,,,,"<qt><font color=""#c30000"">d</font>.<font color=""#690000"">ti</font>-<font color=""#b40000"">ru</font>-<font color=""#b40000"">tur</font></qt>",divine,
d.ti-ru-tur-na,nE,Tirutur-GEN,diruturna,4,,DN,,,,,,
d.ti-ú-uk,oE,Tiwuk,diuuk,1,,DN,,,,"<qt><font color=""#c30000"">d</font>.<font color=""#690000"">ti</font>-<font color=""#9b0000"">ú</font>-<font color=""#9b0000"">uk</font></qt>",divine,
du?-li?-en,nE,,dulien,,,DN,,,,"<qt><font color=""#9b0000"">du</font>-li-<font color=""#690000"">en</font></qt>",divine,
[d.tu]l?-la-at,oE,Tullat?,dullaat,1,,DN,,,,"<qt><font color=""#c30000"">d</font>.<font color=""#00ff00"">tul</font>-la-<font color=""#690000"">at</font></qt>",divine,
d.tur-ma,achE,δrvā,durma,2,δrvā,DN,d.tur-me,,,"<qt><font color=""#c30000"">d</font>.<font color=""#b40000"">tur</font>-<font color=""#b40000"">ma</font></qt>",divine,
d.tur-me,achE,drvā,durme,2,drvā,DN,d.tur-ma,,,"<qt><font color=""#c30000"">d</font>.<font color=""#b40000"">tur</font>-<font color=""#9b0000"">me</font></qt>",divine,
d.tur-ra-ka-ra-ak,nA,,durrakaraak,,,DN,,,,"<qt><font color=""#c30000"">d</font>.<font color=""#b40000"">tur</font>-<font color=""#690000"">ra</font>-ka-<font color=""#690000"">ra</font>-<font color=""#690000"">ak</font></qt>",divine,
d.e-il?,oE,,eil,,,DN,,,,"<qt><font color=""#c30000"">d</font>.<font color=""#690000"">e</font>-<font color=""#690000"">il</font></qt>",divine,
d.e-la-gu,nA,,elagu,3,,DN,,,,"<qt><font color=""#c30000"">d</font>.<font color=""#690000"">e</font>-la-<font color=""#690000"">gu</font></qt>",divine,
el-ha-la-e,nE,,elhalae,2,,DN,,,,"<qt><font color=""#9b0000"">el</font>-<font color=""#690000"">ha</font>-la-<font color=""#690000"">e</font></qt>",divine,
d.[e]l-ha-lah,nA,,elhalah,,,DN,"d.el-ha-la-hu, e-la-la",,,"<qt><font color=""#c30000"">d</font>.<font color=""#9b0000"">el</font>-<font color=""#690000"">ha</font>-<font color=""#00ff00"">lah</font></qt>",divine,
e-li-gu-ne,oE,,eligune,1,,DN,ku-uk.e-li-gu-ne,,,"<qt><font color=""#690000"">e</font>-li-<font color=""#690000"">gu</font>-<font color=""#d50000"">ne</font></qt>",divine,
d.el-tar-ra-an-ra,nE,ištarān-SG,eltarraanra,1,ištarān,DN,,,,"<qt><font color=""#c30000"">d</font>.<font color=""#9b0000"">el</font>-<font color=""#c30000"">tar</font>-<font color=""#690000"">ra</font>-<font color=""#c30000"">an</font>-<font color=""#690000"">ra</font></qt>",divine,
h.en-ra-ir-ra,nE,,enrairra,,,DN,,,,"<qt><font color=""#c30000"">h</font>.<font color=""#690000"">en</font>-<font color=""#690000"">ra</font>-ir-<font color=""#690000"">ra</font></qt>",divine,
d.kun-zi-ba-mi,nA,,gunzibami,,,DN,,,,"<qt><font color=""#c30000"">d</font>.<font color=""#00ff00"">kun</font>-<font color=""#690000"">zi</font>-<font color=""#9b0000"">ba</font>-mi</qt>",divine,
d.eri-ya,nA,,eriya,8,,DN,,,,"<qt><font color=""#c30000"">d</font>.<font color=""#00ff00"">eri</font>-<font color=""#9b0000"">ya</font></qt>",divine,
d.er-ra,oE,erra,erra,1,erra,DN,"ki-di-in.d.er-ra, ki-di-in.d-er-ra",,,"<qt><font color=""#c30000"">d</font>.<font color=""#00ff00"">er</font>-<font color=""#690000"">ra</font></qt>",divine,
d.ka-ar-sa,nA,,gaarsa,2,,DN,,,,"<qt><font color=""#c30000"">d</font>.ka-ar-<font color=""#690000"">sa</font></qt>",divine,
d.qa-ir-ba-ti-ya-iš,achE,Xārapaϑya-š,gairbatiyais~,3,xārapaϑya,DN,d.qa-ir-ba-ši-ya,,,"<qt><font color=""#c30000"">d</font>.<font color=""#9b0000"">ka<small>4</small></font>-ir-<font color=""#9b0000"">ba</font>-<font color=""#690000"">ti</font>-<font color=""#9b0000"">ya</font>-iš</qt>",divine,
d.zí-iz-kur-ra,achE,,ziizkurra,,,DN,,,,"<qt><font color=""#c30000"">d</font>.<font color=""#690000"">zí</font>-<font color=""#b40000"">iz</font>-<font color=""#cd0000"">kur</font>-<font color=""#690000"">ra</font></qt>",divine,
ka-ma,,kama,gama,1,,DN,,,,"<qt>ka-<font color=""#b40000"">ma</font></qt>",divine,
gi-eš-ta,,,gies~ta,,,DN,i-gi-iš-ta,,,"<qt><font color=""#9b0000"">gi</font>-<font color=""#9b0000"">eš</font>-ta</qt>",divine,
d.ki-ik,achE,heaven,giik,11,,DN,,Sg.,3rd Anim.,"<qt><font color=""#c30000"">d</font>.<font color=""#690000"">ki</font>-<font color=""#c30000"">ik</font></qt>",divine,
d.ki-in-da.kar-bu,nA,,giindakarbu,2,,DN,,,,"<qt><font color=""#c30000"">d</font>.<font color=""#690000"">ki</font>-in-<font color=""#9b0000"">da</font>.<font color=""#690000"">kar</font>-<font color=""#9b0000"">bu</font></qt>",divine,
d.ki-ir-ma-as,nA,kirwäs,giirmaas,1,,DN,v.ku-uk.d.kir-ma-áš,,,"<qt><font color=""#c30000"">d</font>.<font color=""#690000"">ki</font>-ir-<font color=""#b40000"">ma</font>-<font color=""#9b0000"">as</font></qt>",divine,
d.ki-ir-sa-ma-as,nA,kirwäs,giirsamaas,1,,DN,d.ki-ir-ma-as,,,"<qt><font color=""#c30000"">d</font>.<font color=""#690000"">ki</font>-ir-<font color=""#690000"">sa</font>-<font color=""#b40000"">ma</font>-<font color=""#9b0000"">as</font></qt>",divine,
